11:46:46 9/6/2021,25.62℃,22% moisture,100% light,11:43:43 9/6/2021,11:46:46 9/6/2021,183 sec,1 mode
11:49:50 10/6/2021,27.31℃,20% moisture,69% light,11:46:47 10/6/2021,11:49:50 10/6/2021,183 sec,1 mode
11:55:58 12/6/2021,27.50℃,22% moisture,100% light,11:52:55 12/6/2021,11:55:57 12/6/2021,182 sec,1 mode
00:00:09 1/1/1970,26.87℃,28% moisture,22% light,00:00:05 1/1/1970,00:00:09 1/1/1970,4 sec,0 mode
04:03:03 13/6/2021,26.81℃,26% moisture,1% light,04:00:00 13/6/2021,04:03:03 13/6/2021,183 sec,1 mode
04:06:07 14/6/2021,26.44℃,24% moisture,1% light,04:03:04 14/6/2021,04:06:06 14/6/2021,182 sec,1 mode
04:09:11 15/6/2021,26.94℃,21% moisture,1% light,04:06:08 15/6/2021,04:09:10 15/6/2021,182 sec,1 mode
04:12:14 16/6/2021,26.31℃,16% moisture,1% light,04:09:12 16/6/2021,04:12:14 16/6/2021,182 sec,1 mode
04:15:18 17/6/2021,26.56℃,16% moisture,1% light,04:12:15 17/6/2021,04:15:18 17/6/2021,183 sec,1 mode
04:18:22 18/6/2021,26.37℃,60% moisture,1% light,04:15:19 18/6/2021,04:18:22 18/6/2021,183 sec,1 mode
10:17:09 18/6/2021,26.56℃,63% moisture,100% light,10:17:05 18/6/2021,10:17:09 18/6/2021,4 sec,0 mode
11:40:29 18/6/2021,26.00℃,20% moisture,100% light,11:39:26 18/6/2021,11:40:28 18/6/2021,62 sec,2 mode
11:41:47 18/6/2021,25.81℃,14% moisture,100% light,11:40:44 18/6/2021,11:41:47 18/6/2021,63 sec,2 mode
17:11:59 18/6/2021,27.25℃,25% moisture,100% light,17:11:55 18/6/2021,17:11:59 18/6/2021,4 sec,0 mode
17:16:12 18/6/2021,27.25℃,25% moisture,100% light,17:16:08 18/6/2021,17:16:11 18/6/2021,3 sec,0 mode
17:19:09 18/6/2021,29.81℃,26% moisture,100% light,17:18:06 18/6/2021,17:19:08 18/6/2021,62 sec,2 mode
17:22:48 18/6/2021,27.69℃,25% moisture,100% light,17:21:03 18/6/2021,17:22:47 18/6/2021,104 sec,2 mode
17:32:22 18/6/2021,27.44℃,25% moisture,100% light,17:32:18 18/6/2021,17:32:22 18/6/2021,4 sec,0 mode
17:33:46 18/6/2021,27.56℃,25% moisture,100% light,17:33:27 18/6/2021,17:33:46 18/6/2021,19 sec,2 mode
